path,category,size_bytes,git_status,referenced_by,reason,recoverable,recommended_action,risk_level,requires_user_approval
.gitignore,KEEP_REPRODUCIBILITY,188,tracked,,repository configuration or tracked sample input,yes_from_source_control,keep pending explicit sample ownership review,low,False
.pytest_cache/.gitignore,SAFE_DELETE_CANDIDATE,39,ignored,,interpreter/test cache; regenerated automatically,yes,delete only after user approval,low,True
.pytest_cache/CACHEDIR.TAG,SAFE_DELETE_CANDIDATE,191,ignored,,interpreter/test cache; regenerated automatically,yes,delete only after user approval,low,True
.pytest_cache/README.md,SAFE_DELETE_CANDIDATE,310,ignored,,interpreter/test cache; regenerated automatically,yes,delete only after user approval,low,True
.pytest_cache/v/cache/lastfailed,SAFE_DELETE_CANDIDATE,2,ignored,,interpreter/test cache; regenerated automatically,yes,delete only after user approval,low,True
.pytest_cache/v/cache/nodeids,SAFE_DELETE_CANDIDATE,8891,ignored,,interpreter/test cache; regenerated automatically,yes,delete only after user approval,low,True
.venv/Include/site/python3.12/pygame/_blit_info.h,SAFE_DELETE_CANDIDATE,470,ignored,,local virtual environment; reproducible from setup/requirements,yes,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/_camera.h,SAFE_DELETE_CANDIDATE,839,ignored,,local virtual environment; reproducible from setup/requirements,yes,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/_pygame.h,SAFE_DELETE_CANDIDATE,11726,ignored,,local virtual environment; reproducible from setup/requirements,yes,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/_surface.h,SAFE_DELETE_CANDIDATE,957,ignored,,local virtual environment; reproducible from setup/requirements,yes,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/camera.h,SAFE_DELETE_CANDIDATE,5605,ignored,,local virtual environment; reproducible from setup/requirements,yes,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/font.h,SAFE_DELETE_CANDIDATE,348,ignored,,local virtual environment; reproducible from setup/requirements,yes,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/freetype.h,SAFE_DELETE_CANDIDATE,3245,ignored,,local virtual environment; reproducible from setup/requirements,yes,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/include/_pygame.h,SAFE_DELETE_CANDIDATE,30436,ignored,,local virtual environment; reproducible from setup/requirements,yes,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/include/bitmask.h,SAFE_DELETE_CANDIDATE,4952,ignored,,local virtual environment; reproducible from setup/requirements,yes,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/include/pgcompat.h,SAFE_DELETE_CANDIDATE,1944,ignored,,local virtual environment; reproducible from setup/requirements,yes,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/include/pgimport.h,SAFE_DELETE_CANDIDATE,2636,ignored,,local virtual environment; reproducible from setup/requirements,yes,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/include/pgplatform.h,SAFE_DELETE_CANDIDATE,2312,ignored,,local virtual environment; reproducible from setup/requirements,yes,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/include/pygame.h,SAFE_DELETE_CANDIDATE,1245,ignored,,local virtual environment; reproducible from setup/requirements,yes,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/include/pygame_bufferproxy.h,SAFE_DELETE_CANDIDATE,1834,ignored,,local virtual environment; reproducible from setup/requirements,yes,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/include/pygame_font.h,SAFE_DELETE_CANDIDATE,1501,ignored,,local virtual environment; reproducible from setup/requirements,yes,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/include/pygame_freetype.h,SAFE_DELETE_CANDIDATE,1346,ignored,,local virtual environment; reproducible from setup/requirements,yes,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/include/pygame_mask.h,SAFE_DELETE_CANDIDATE,1303,ignored,,local virtual environment; reproducible from setup/requirements,yes,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/include/pygame_mixer.h,SAFE_DELETE_CANDIDATE,2021,ignored,,local virtual environment; reproducible from setup/requirements,yes,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/include/sse2neon.h,SAFE_DELETE_CANDIDATE,237885,ignored,,local virtual environment; reproducible from setup/requirements,yes,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/mask.h,SAFE_DELETE_CANDIDATE,153,ignored,,local virtual environment; reproducible from setup/requirements,yes,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/mixer.h,SAFE_DELETE_CANDIDATE,348,ignored,,local virtual environment; reproducible from setup/requirements,yes,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/palette.h,SAFE_DELETE_CANDIDATE,7057,ignored,,local virtual environment; reproducible from setup/requirements,yes,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/pgarrinter.h,SAFE_DELETE_CANDIDATE,1060,ignored,,local virtual environment; reproducible from setup/requirements,yes,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/pgbufferproxy.h,SAFE_DELETE_CANDIDATE,179,ignored,,local virtual environment; reproducible from setup/requirements,yes,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/pgcompat.h,SAFE_DELETE_CANDIDATE,737,ignored,,local virtual environment; reproducible from setup/requirements,yes,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/pgopengl.h,SAFE_DELETE_CANDIDATE,606,ignored,,local virtual environment; reproducible from setup/requirements,yes,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/pgplatform.h,SAFE_DELETE_CANDIDATE,553,ignored,,local virtual environment; reproducible from setup/requirements,yes,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/pygame.h,SAFE_DELETE_CANDIDATE,1083,ignored,,local virtual environment; reproducible from setup/requirements,yes,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/scrap.h,SAFE_DELETE_CANDIDATE,4704,ignored,,local virtual environment; reproducible from setup/requirements,yes,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/simd_blitters.h,SAFE_DELETE_CANDIDATE,2494,ignored,,local virtual environment; reproducible from setup/requirements,yes,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/surface.h,SAFE_DELETE_CANDIDATE,14584,ignored,,local virtual environment; reproducible from setup/requirements,yes,optionally recreate after approval,medium,True
.venv/Lib/site-packages/__pycache__/isympy.cpython-312.pyc,SAFE_DELETE_CANDIDATE,11018,ignored,,interpreter/test cache; regenerated automatically,yes,delete only after user approval,low,True
.venv/Lib/site-packages/__pycache__/py.cpython-312.pyc,SAFE_DELETE_CANDIDATE,476,ignored,,interpreter/test cache; regenerated automatically,yes,delete only after user approval,low,True
.venv/Lib/site-packages/__pycache__/pylab.cpython-312.pyc,SAFE_DELETE_CANDIDATE,292,ignored,,interpreter/test cache; regenerated automatically,yes,delete only after user approval,low,True
.venv/Lib/site-packages/__pycache__/six.cpython-312.pyc,SAFE_DELETE_CANDIDATE,41324,ignored,,interpreter/test cache; regenerated automatically,yes,delete only after user approval,low,True
.venv/Lib/site-packages/__pycache__/typing_extensions.cpython-312.pyc,SAFE_DELETE_CANDIDATE,166522,ignored,,interpreter/test cache; regenerated automatically,yes,delete only after user approval,low,True
.venv/Lib/site-packages/_distutils_hack/__init__.py,SAFE_DELETE_CANDIDATE,6755,ignored,,local virtual environment; reproducible from setup/requirements,yes,optionally recreate after approval,medium,True
.venv/Lib/site-packages/_distutils_hack/__pycache__/__init__.cpython-312.pyc,SAFE_DELETE_CANDIDATE,10578,ignored,,interpreter/test cache; regenerated automatically,yes,delete only after user approval,low,True
.venv/Lib/site-packages/_distutils_hack/__pycache__/override.cpython-312.pyc,SAFE_DELETE_CANDIDATE,274,ignored,,interpreter/test cache; regenerated automatically,yes,delete only after user approval,low,True
.venv/Lib/site-packages/_distutils_hack/override.py,SAFE_DELETE_CANDIDATE,44,ignored,,local virtual environment; reproducible from setup/requirements,yes,optionally recreate after approval,medium,True
.venv/Lib/site-packages/_polars_runtime_32/__init__.py,SAFE_DELETE_CANDIDATE,174,ignored,,local virtual environment; reproducible from setup/requirements,yes,optionally recreate after approval,medium,True
.venv/Lib/site-packages/_polars_runtime_32/__pycache__/__init__.cpython-312.pyc,SAFE_DELETE_CANDIDATE,369,ignored,,interpreter/test cache; regenerated automatically,yes,delete only after user approval,low,True
.venv/Lib/site-packages/_polars_runtime_32/__pycache__/build_feature_flags.cpython-312.pyc,SAFE_DELETE_CANDIDATE,318,ignored,,interpreter/test cache; regenerated automatically,yes,delete only after user approval,low,True
.venv/Lib/site-packages/_polars_runtime_32/_polars_runtime.pyd,SAFE_DELETE_CANDIDATE,184414720,ignored,,local virtual environment; reproducible from setup/requirements,yes,optionally recreate after approval,medium,True
.venv/Lib/site-packages/_polars_runtime_32/build_feature_flags.py,SAFE_DELETE_CANDIDATE,126,ignored,,local virtual environment; reproducible from setup/requirements,yes,optionally recreate after approval,medium,True
.venv/Lib/site-packages/_pytest/__init__.py,SAFE_DELETE_CANDIDATE,391,ignored,,local virtual environment; reproducible from setup/requirements,yes,optionally recreate after approval,medium,True
.venv/Lib/site-packages/_pytest/__pycache__/__init__.cpython-312.pyc,SAFE_DELETE_CANDIDATE,464,ignored,,interpreter/test cache; regenerated automatically,yes,delete only after user approval,low,True
.venv/Lib/site-packages/_pytest/__pycache__/_argcomplete.cpython-312.pyc,SAFE_DELETE_CANDIDATE,4809,ignored,,interpreter/test cache; regenerated automatically,yes,delete only after user approval,low,True
.venv/Lib/site-packages/_pytest/__pycache__/_version.cpython-312.pyc,SAFE_DELETE_CANDIDATE,773,ignored,,interpreter/test cache; regenerated automatically,yes,delete only after user approval,low,True
.venv/Lib/site-packages/_pytest/__pycache__/cacheprovider.cpython-312.pyc,SAFE_DELETE_CANDIDATE,30845,ignored,,interpreter/test cache; regenerated automatically,yes,delete only after user approval,low,True
.venv/Lib/site-packages/_pytest/__pycache__/capture.cpython-312.pyc,SAFE_DELETE_CANDIDATE,55678,ignored,,interpreter/test cache; regenerated automatically,yes,delete only after user approval,low,True
.venv/Lib/site-packages/_pytest/__pycache__/compat.cpython-312.pyc,SAFE_DELETE_CANDIDATE,12382,ignored,,interpreter/test cache; regenerated automatically,yes,delete only after user approval,low,True
.venv/Lib/site-packages/_pytest/__pycache__/debugging.cpython-312.pyc,SAFE_DELETE_CANDIDATE,18262,ignored,,interpreter/test cache; regenerated automatically,yes,delete only after user approval,low,True
.venv/Lib/site-packages/_pytest/__pycache__/deprecated.cpython-312.pyc,SAFE_DELETE_CANDIDATE,2546,ignored,,interpreter/test cache; regenerated automatically,yes,delete only after user approval,low,True
.venv/Lib/site-packages/_pytest/__pycache__/doctest.cpython-312.pyc,SAFE_DELETE_CANDIDATE,33295,ignored,,interpreter/test cache; regenerated automatically,yes,delete only after user approval,low,True
.venv/Lib/site-packages/_pytest/__pycache__/faulthandler.cpython-312.pyc,SAFE_DELETE_CANDIDATE,4421,ignored,,interpreter/test cache; regenerated automatically,yes,delete only after user approval,low,True
.venv/Lib/site-packages/_pytest/__pycache__/fixtures.cpython-312.pyc,SAFE_DELETE_CANDIDATE,81874,ignored,,interpreter/test cache; regenerated automatically,yes,delete only after user approval,low,True
.venv/Lib/site-packages/_pytest/__pycache__/freeze_support.cpython-312.pyc,SAFE_DELETE_CANDIDATE,1808,ignored,,interpreter/test cache; regenerated automatically,yes,delete only after user approval,low,True
.venv/Lib/site-packages/_pytest/__pycache__/helpconfig.cpython-312.pyc,SAFE_DELETE_CANDIDATE,12515,ignored,,interpreter/test cache; regenerated automatically,yes,delete only after user approval,low,True
.venv/Lib/site-packages/_pytest/__pycache__/hookspec.cpython-312.pyc,SAFE_DELETE_CANDIDATE,45580,ignored,,interpreter/test cache; regenerated automatically,yes,delete only after user approval,low,True
.venv/Lib/site-packages/_pytest/__pycache__/junitxml.cpython-312.pyc,SAFE_DELETE_CANDIDATE,33128,ignored,,interpreter/test cache; regenerated automatically,yes,delete only after user approval,low,True
.venv/Lib/site-packages/_pytest/__pycache__/legacypath.cpython-312.pyc,SAFE_DELETE_CANDIDATE,24153,ignored,,interpreter/test cache; regenerated automatically,yes,delete only after user approval,low,True
.venv/Lib/site-packages/_pytest/__pycache__/logging.cpython-312.pyc,SAFE_DELETE_CANDIDATE,45810,ignored,,interpreter/test cache; regenerated automatically,yes,delete only after user approval,low,True
.venv/Lib/site-packages/_pytest/__pycache__/main.cpython-312.pyc,SAFE_DELETE_CANDIDATE,44044,ignored,,interpreter/test cache; regenerated automatically,yes,delete only after user approval,low,True
.venv/Lib/site-packages/_pytest/__pycache__/monkeypatch.cpython-312.pyc,SAFE_DELETE_CANDIDATE,16507,ignored,,interpreter/test cache; regenerated automatically,yes,delete only after user approval,low,True
.venv/Lib/site-packages/_pytest/__pycache__/nodes.cpython-312.pyc,SAFE_DELETE_CANDIDATE,30811,ignored,,interpreter/test cache; regenerated automatically,yes,delete only after user approval,low,True
