dataset_path,role,file_count,size_bytes,image_count,label_count,yaml_count,archive_count,missing_label_name_count,orphan_label_name_count,train_val_duplicate_hash_count,recommended_category,note
data/cvat_exports,CVAT source/export,205,26186977,100,99,2,2,1,0,0,KEEP_REPRODUCIBILITY,"Do not delete or move automatically; duplicate hashes may be intentional split/export copies. Preserve as source/export provenance, including archives."
data/cvat_exports/tissue_box_front_positive_v2_dataset,CVAT source/export,42,5216482,20,20,1,0,0,0,0,KEEP_REPRODUCIBILITY,"Do not delete or move automatically; duplicate hashes may be intentional split/export copies. Preserve as source/export provenance, including archives."
data/cvat_exports/tissue_box_front_positive_v3_dataset,CVAT source/export,161,20934683,80,79,1,0,1,0,0,KEEP_REPRODUCIBILITY,"Do not delete or move automatically; duplicate hashes may be intentional split/export copies. Preserve as source/export provenance, including archives."
data/datasets,legacy/pilot/intermediate dataset,783,282858532,386,386,2,0,0,0,16,KEEP_REPRODUCIBILITY,Do not delete or move automatically; duplicate hashes may be intentional split/export copies.
data/datasets/tissue_box_front_orbbec_full99,Full99 final dataset,450,149193653,223,223,1,0,0,0,0,KEEP_REPRODUCIBILITY,"Do not delete or move automatically; duplicate hashes may be intentional split/export copies. Internal train/val exact-hash overlap is zero, but both Orbbec splits come from the same capture session; this is not an external test."
data/datasets/tissue_box_front_orbbec_pilot,legacy/pilot/intermediate dataset,134,107766402,64,64,1,0,0,0,0,KEEP_REPRODUCIBILITY,"Do not delete or move automatically; duplicate hashes may be intentional split/export copies. Pilot is a designed subset of Full99; pilot validation images appear in Full99 training, so cross-experiment metric comparisons need care."
data/datasets/tissue_box_front_orbbec_valid99_source,capture/source,199,25898477,99,99,0,0,0,0,0,KEEP_REPRODUCIBILITY,Do not delete or move automatically; duplicate hashes may be intentional split/export copies.
data/object_anchor_capture,capture/source,201,25834841,100,100,0,0,0,0,0,KEEP_REPRODUCIBILITY,Do not delete or move automatically; duplicate hashes may be intentional split/export copies.
data/object_anchor_capture/negative,capture/source,200,25792283,100,100,0,0,0,0,0,KEEP_REPRODUCIBILITY,Do not delete or move automatically; duplicate hashes may be intentional split/export copies.
data/tissue_box_front_only_pose,legacy/pilot/intermediate dataset,51,97363556,24,24,0,0,0,0,0,KEEP_REPRODUCIBILITY,Do not delete or move automatically; duplicate hashes may be intentional split/export copies.
