group_id,sha256,size_bytes_each,group_file_count,potential_savings_bytes,path,likely_intentional_structure_copy,automatic_delete_recommended,note
21,04c003314a494880cad34b7af5ef9bc1288e6950f79c125c49bf19d1e2376579,7680128,2,7680128,calibration/rectify_maps_map2_left.npy,False,False,Keep one is not automatically safe; verify dataset/model provenance.
21,04c003314a494880cad34b7af5ef9bc1288e6950f79c125c49bf19d1e2376579,7680128,2,7680128,calibration/rectify_maps_map2_right.npy,False,False,Keep one is not automatically safe; verify dataset/model provenance.
22,e509266723924163882919e2636c7ee02a0222310d2b45c2a560c64214ff2cd1,7680128,2,7680128,calibration/rectify_maps_map1_left.npy,False,False,Keep one is not automatically safe; verify dataset/model provenance.
22,e509266723924163882919e2636c7ee02a0222310d2b45c2a560c64214ff2cd1,7680128,2,7680128,calibration/rectify_maps_map1_right.npy,False,False,Keep one is not automatically safe; verify dataset/model provenance.
28,d37fd4ca4deb2de9ee3b13d816e30496a5a5d0f369d8a8c2d902672aad6f6db4,5643336,2,5643336,models/object_anchor/tissue_box_01_front_only/best.pt,False,False,Keep one is not automatically safe; verify dataset/model provenance.
28,d37fd4ca4deb2de9ee3b13d816e30496a5a5d0f369d8a8c2d902672aad6f6db4,5643336,2,5643336,runs/object_anchor_pose/tissue_box_01_front_only_pilot/weights/best.pt,False,False,Keep one is not automatically safe; verify dataset/model provenance.
29,2512be192c87242633b5aec4ceba332937a51c82e3853bfbde83cdd8300dd198,5619720,3,11239440,models/object_anchor/tissue_box_01_front_only_orbbec_full99/best.pt,False,False,Keep one is not automatically safe; verify dataset/model provenance.
29,2512be192c87242633b5aec4ceba332937a51c82e3853bfbde83cdd8300dd198,5619720,3,11239440,out/object_anchor_full99/training/weights/best.pt,False,False,Keep one is not automatically safe; verify dataset/model provenance.
29,2512be192c87242633b5aec4ceba332937a51c82e3853bfbde83cdd8300dd198,5619720,3,11239440,runs/object_anchor_pose/tissue_box_01_front_only_orbbec_full99/weights/best.pt,False,False,Keep one is not automatically safe; verify dataset/model provenance.
30,5c615f6aa6bc9c182d2ab80e92ed87cdd927562f301acc403df5d76bd384fccf,5619720,2,5619720,out/object_anchor_full99/training/weights/last.pt,False,False,Keep one is not automatically safe; verify dataset/model provenance.
30,5c615f6aa6bc9c182d2ab80e92ed87cdd927562f301acc403df5d76bd384fccf,5619720,2,5619720,runs/object_anchor_pose/tissue_box_01_front_only_orbbec_full99/weights/last.pt,False,False,Keep one is not automatically safe; verify dataset/model provenance.
32,1f33fa51c656f4b8fc3c3e92e9eb5d7d6ea0d886b8a0c71fc1b14ba94d8e80ad,5613064,2,5613064,models/object_anchor/tissue_box_01_front_only_orbbec_pilot/best.pt,False,False,Keep one is not automatically safe; verify dataset/model provenance.
32,1f33fa51c656f4b8fc3c3e92e9eb5d7d6ea0d886b8a0c71fc1b14ba94d8e80ad,5613064,2,5613064,runs/object_anchor_pose/tissue_box_01_front_only_orbbec_pilot/weights/best.pt,False,False,Keep one is not automatically safe; verify dataset/model provenance.
