path,kind,status,file_count,size_bytes,summary_files,config_files,representative_image_count,raw_media_file_count,raw_media_size_bytes,runtime_referenced,regenerable,retention_value
out/object_anchor,experiment_output,unknown,3,516118,,,3,3,516118,no,code yes; live/training inputs and hardware may be required,medium
out/object_anchor_full99,experiment_output,failed_or_aborted,497,158962055,out/object_anchor_full99/comparison_summary.json;out/object_anchor_full99/dataset_validation/validation_summary.json;out/object_anchor_full99/default_orbbec_integration/20260726_151831/apriltag_summary.json;out/object_anchor_full99/default_orbbec_integration/20260726_151831/cup_regression_summary.json;out/object_anchor_full99/default_orbbec_integration/20260726_151831/object_anchor_summary.json;out/object_anchor_full99/default_orbbec_integration/20260726_151831/README.md;out/object_anchor_full99/default_orbbec_integration/20260726_151831/runtime_summary.json;out/object_anchor_full99/legacy_regression/baseline/summary.json;out/object_anchor_full99/legacy_regression/full99/summary.json;out/object_anchor_full99/legacy_regression/pilot/summary.json;out/object_anchor_full99/live_world/20260726_000726/object_anchor_world_summary.json;out/object_anchor_full99/live_world/20260726_000726/object_anchor_world_summary_final.json;out/object_anchor_full99/live_world/20260726_074524/object_anchor_world_summary.json;out/object_anchor_full99/live_world/20260726_074524/object_anchor_world_summary_final.json;out/object_anchor_full99/mvp_branch_aware_comparison/20260726_164157/branch_registration_summary.json;out/object_anchor_full99/mvp_branch_aware_comparison/20260726_164157/branch_validation_summary.json;out/object_anchor_full99/mvp_branch_aware_comparison/20260726_164157/mvp_final_decision.json;out/object_anchor_full99/mvp_branch_aware_comparison/20260726_164157/README.md;out/object_anchor_full99/mvp_branch_mapping_diagnostics/20260726_173332/diagnostic_summary.json;out/object_anchor_full99/mvp_branch_mapping_diagnostics/20260726_173332/preflight_original_vs_remapped_summary.json,out/object_anchor_full99/training/args.yaml;out/object_anchor_full99/mvp_final_comparison/20260726_163325/config_snapshot.yaml;out/object_anchor_full99/mvp_final_comparison/20260726_172325/config_snapshot.yaml,394,394,142362023,no,code yes; live/training inputs and hardware may be required,high
out/object_anchor_full99/default_orbbec_integration/20260726_151831,experiment_output,successful,13,937956,out/object_anchor_full99/default_orbbec_integration/20260726_151831/apriltag_summary.json;out/object_anchor_full99/default_orbbec_integration/20260726_151831/cup_regression_summary.json;out/object_anchor_full99/default_orbbec_integration/20260726_151831/object_anchor_summary.json;out/object_anchor_full99/default_orbbec_integration/20260726_151831/README.md;out/object_anchor_full99/default_orbbec_integration/20260726_151831/runtime_summary.json,,3,3,880047,no,code yes; live/training inputs and hardware may be required,high
out/object_anchor_full99/live_world/20260726_000726,experiment_output,successful,3,74798,out/object_anchor_full99/live_world/20260726_000726/object_anchor_world_summary.json;out/object_anchor_full99/live_world/20260726_000726/object_anchor_world_summary_final.json,,0,0,0,no,code yes; live/training inputs and hardware may be required,high
out/object_anchor_full99/live_world/20260726_074524,experiment_output,successful,161,42330927,out/object_anchor_full99/live_world/20260726_074524/object_anchor_world_summary.json;out/object_anchor_full99/live_world/20260726_074524/object_anchor_world_summary_final.json,,158,158,42021296,no,code yes; live/training inputs and hardware may be required,high
out/object_anchor_full99/mvp_branch_aware_comparison/20260726_164157,experiment_output,failed_or_aborted,9,165620,out/object_anchor_full99/mvp_branch_aware_comparison/20260726_164157/branch_registration_summary.json;out/object_anchor_full99/mvp_branch_aware_comparison/20260726_164157/branch_validation_summary.json;out/object_anchor_full99/mvp_branch_aware_comparison/20260726_164157/mvp_final_decision.json;out/object_anchor_full99/mvp_branch_aware_comparison/20260726_164157/README.md,,0,0,0,no,code yes; live/training inputs and hardware may be required,high
out/object_anchor_full99/mvp_branch_mapping_diagnostics/20260726_173332,experiment_output,completed_diagnostic,6,13676,out/object_anchor_full99/mvp_branch_mapping_diagnostics/20260726_173332/diagnostic_summary.json;out/object_anchor_full99/mvp_branch_mapping_diagnostics/20260726_173332/preflight_original_vs_remapped_summary.json;out/object_anchor_full99/mvp_branch_mapping_diagnostics/20260726_173332/README.md,,0,0,0,no,code yes; live/training inputs and hardware may be required,high
out/object_anchor_full99/mvp_final_comparison/20260726_163325,experiment_output,failed_or_aborted,4,239152,out/object_anchor_full99/mvp_final_comparison/20260726_163325/mvp_final_decision.json;out/object_anchor_full99/mvp_final_comparison/20260726_163325/README.md,out/object_anchor_full99/mvp_final_comparison/20260726_163325/config_snapshot.yaml,0,0,0,no,code yes; live/training inputs and hardware may be required,high
out/object_anchor_full99/mvp_final_comparison/20260726_172325,experiment_output,failed_or_aborted,10,595009,out/object_anchor_full99/mvp_final_comparison/20260726_172325/branch_assignment_summary.json;out/object_anchor_full99/mvp_final_comparison/20260726_172325/mvp_final_decision.json;out/object_anchor_full99/mvp_final_comparison/20260726_172325/preflight_summary.json;out/object_anchor_full99/mvp_final_comparison/20260726_172325/README.md;out/object_anchor_full99/mvp_final_comparison/20260726_172325/registration_summary.json,out/object_anchor_full99/mvp_final_comparison/20260726_172325/config_snapshot.yaml,0,0,0,no,code yes; live/training inputs and hardware may be required,high
out/object_anchor_full99/mvp_translation_diagnostics/20260726_164854,experiment_output,completed_diagnostic,8,144298,out/object_anchor_full99/mvp_translation_diagnostics/20260726_164854/diagnostic_summary.json;out/object_anchor_full99/mvp_translation_diagnostics/20260726_164854/README.md;out/object_anchor_full99/mvp_translation_diagnostics/20260726_164854/temporal_filter_summary.json;out/object_anchor_full99/mvp_translation_diagnostics/20260726_164854/translation_correlation_summary.json,,0,0,0,no,code yes; live/training inputs and hardware may be required,high
out/object_anchor_full99/replacement_feasibility/20260726_132601,experiment_output,failed_or_aborted,83,20659144,out/object_anchor_full99/replacement_feasibility/20260726_132601/comparison_summary.json;out/object_anchor_full99/replacement_feasibility/20260726_132601/README.md;out/object_anchor_full99/replacement_feasibility/20260726_132601/pnp_cluster_diagnostics/cluster_summary.json;out/object_anchor_full99/replacement_feasibility/20260726_132601/registration/live_world/20260726_132621/object_anchor_world_summary.json;out/object_anchor_full99/replacement_feasibility/20260726_132601/registration/live_world/20260726_132621/object_anchor_world_summary_final.json,,70,70,19275713,no,code yes; live/training inputs and hardware may be required,high
out/object_anchor_full99/replacement_feasibility/20260726_132601/registration/live_world/20260726_132621,experiment_output,successful,73,19792904,out/object_anchor_full99/replacement_feasibility/20260726_132601/registration/live_world/20260726_132621/object_anchor_world_summary.json;out/object_anchor_full99/replacement_feasibility/20260726_132601/registration/live_world/20260726_132621/object_anchor_world_summary_final.json,,70,70,19275713,no,code yes; live/training inputs and hardware may be required,high
out/object_anchor_full99/replacement_feasibility/20260726_132601/registration/snapshots/20260726_132622,experiment_output,unknown,0,0,,,0,0,0,no,code yes; live/training inputs and hardware may be required,high
out/object_anchor_full99/replacement_feasibility/apriltag_branch_diagnostics/20260726_155403,experiment_output,completed_diagnostic,7,577648,out/object_anchor_full99/replacement_feasibility/apriltag_branch_diagnostics/20260726_155403/diagnostic_summary.json;out/object_anchor_full99/replacement_feasibility/apriltag_branch_diagnostics/20260726_155403/pose_cluster_summary.json;out/object_anchor_full99/replacement_feasibility/apriltag_branch_diagnostics/20260726_155403/README.md,,0,0,0,no,code yes; live/training inputs and hardware may be required,high
