rank,path,size_bytes,size_mib,file_type,git_status,category,sha256,referenced_by
1,.venv/Lib/site-packages/torch/lib/torch_cpu.dll,265820160,253.506,dll,ignored,SAFE_DELETE_CANDIDATE,6dc250bb0146fc870629a552d90d55798e00da480c2900cc74b64e26bfd68221,
2,.venv/Lib/site-packages/_polars_runtime_32/_polars_runtime.pyd,184414720,175.872,pyd,ignored,SAFE_DELETE_CANDIDATE,47472d6a778480b2e9af4efbe9af4cc48c3d620156762d5b07b93e7c01be2185,
3,Log/OrbbecSDK.log.2.txt,104857599,100.0,log,ignored,SAFE_DELETE_CANDIDATE,7fe7fb764e91ca77c7edb3ce53418539c9e8712ab30cbf2b1d7e64b1c6343b6a,
4,Log/OrbbecSDK.log.1.txt,104857536,100.0,log,ignored,SAFE_DELETE_CANDIDATE,7ac3e03b9029f3d68f09bc560a46aecfab363ac51bb87d434fdd0877e5c2904d,
5,Log/OrbbecSDK.log.3.txt,104857477,100.0,log,ignored,SAFE_DELETE_CANDIDATE,f4c8daa3dc4d822debeee139af714cb567e94eb01ae37a834212e9b5ed567783,
6,.venv/Lib/site-packages/cv2/cv2.pyd,74819072,71.353,pyd,ignored,SAFE_DELETE_CANDIDATE,78db0c836b952d9d5510140677463687c357a7166fddfa6ac7e31abb2d7d9bbd,
7,.venv/Lib/site-packages/torch/lib/torch_cpu.lib,29660092,28.286,lib,ignored,SAFE_DELETE_CANDIDATE,695275f62b2b26a9fe6860c9691e637a4aecfba9d26f99661f857e6f3a6915af,
8,.venv/Lib/site-packages/cv2/opencv_videoio_ffmpeg4130_64.dll,28578304,27.254,dll,ignored,SAFE_DELETE_CANDIDATE,fcc614672159094a35815b7ea2819a648cbf86c30d90c57e8c6ba1432f594548,
9,.venv/Lib/site-packages/numpy.libs/libscipy_openblas64_-63c857e738469261263c764a36be9436.dll,20415488,19.47,dll,ignored,SAFE_DELETE_CANDIDATE,63c857e738469261263c764a36be9436ebdeaa272e340a828f42047a97131080,
10,.venv/Lib/site-packages/scipy.libs/libscipy_openblas-197ee2fc9b4d071f7e048078cac74115.dll,20262912,19.324,dll,ignored,SAFE_DELETE_CANDIDATE,197ee2fc9b4d071f7e048078cac741151a6585d871061cf5f88c0c73e31963a5,
11,.venv/Lib/site-packages/av.libs/libx265-668b2e71a6cd3b80e84445adafe9696a.dll,20128256,19.196,dll,ignored,SAFE_DELETE_CANDIDATE,32fffdcc411e2b5ed53a13d375eae897b8d35eab314badf99ef98d94725a4a46,
12,yolo11s.pt,19313732,18.419,model,ignored,KEEP_RUNTIME,85a76fe86dd8afe384648546b56a7a78580c7cb7b404fc595f97969322d502d5,configs/default.yaml;configs/demo.yaml;configs/experiments/orbbec_gemini_object_anchor_full99.yaml;configs/experiments/orbbec_gemini_object_anchor_mvp_final.yaml;configs/experiments/orbbec_gemini_object_anchor_pilot.yaml;configs/image_folder.yaml;configs/orbbec_gemini.yaml;experiments/repeatability_run.py;src/detect.py;tests/test_object_anchor_replacement_feasibility.py
13,.venv/Lib/site-packages/torch/lib/torch_python.dll,18795520,17.925,dll,ignored,SAFE_DELETE_CANDIDATE,887a41dd6689998598814198f1cae5a6c8d4b196410a8185f3f94d54eda90667,
14,.venv/Lib/site-packages/pyorbbecsdk/examples/applications/object_detection/models/yolov5s.onnx,14698981,14.018,model,ignored,SAFE_DELETE_CANDIDATE,8bc25a47abdbe2fd23e30eb948746bf856b031ea3cc815166687f52db9f8c659,
15,.venv/Lib/site-packages/av.libs/avcodec-60-603dc320701874565ad4f886b49958fe.dll,14265344,13.604,dll,ignored,SAFE_DELETE_CANDIDATE,9b5bf4ee018330ed028212f3a55e1704ec3af9e71dfdb9b0e25ee0ce006ae108,
16,Log/OrbbecSDK.log.txt,9657439,9.21,log,tracked_modified:M,MANUAL_REVIEW,ae593cdd2a0672f1b3c04b14b539f63b2f06c050cfaa71d0fb210bd6688df28a,
