path,size_bytes,sha256,current_config_references,all_references,generation_experiment,checkpoint_kind,full99_relationship,category,archive_possible,recoverable,recommended_action
models/object_anchor/tissue_box_01_front_only/best.pt,5643336,d37fd4ca4deb2de9ee3b13d816e30496a5a5d0f369d8a8c2d902672aad6f6db4,,docs/OBJECT_ANCHOR_PILOT.md,models\object_anchor\tissue_box_01_front_only,best,pilot_or_legacy,KEEP_REPRODUCIBILITY,True,identical hash copy exists,keep with training lineage and hashes
models/object_anchor/tissue_box_01_front_only_orbbec_full99/best.pt,5619720,2512be192c87242633b5aec4ceba332937a51c82e3853bfbde83cdd8300dd198,configs/experiments/orbbec_gemini_object_anchor_full99.yaml;configs/experiments/orbbec_gemini_object_anchor_mvp_final.yaml;configs/orbbec_gemini.yaml,configs/experiments/orbbec_gemini_object_anchor_full99.yaml;configs/experiments/orbbec_gemini_object_anchor_mvp_final.yaml;configs/orbbec_gemini.yaml;experiments/object_anchor_replacement_feasibility.py;scripts/summarize_object_anchor_full99.py;tests/test_object_anchor_preview.py;tests/test_object_anchor_replacement_feasibility.py,models\object_anchor\tissue_box_01_front_only_orbbec_full99,best,active_full99,KEEP_RUNTIME,False,identical hash copy exists,keep in place
models/object_anchor/tissue_box_01_front_only_orbbec_pilot/best.pt,5613064,1f33fa51c656f4b8fc3c3e92e9eb5d7d6ea0d886b8a0c71fc1b14ba94d8e80ad,configs/experiments/orbbec_gemini_object_anchor_pilot.yaml,configs/experiments/orbbec_gemini_object_anchor_pilot.yaml;scripts/summarize_object_anchor_full99.py,models\object_anchor\tissue_box_01_front_only_orbbec_pilot,best,pilot_or_legacy,KEEP_REPRODUCIBILITY,True,identical hash copy exists,keep with training lineage and hashes
out/object_anchor_full99/training/weights/best.pt,5619720,2512be192c87242633b5aec4ceba332937a51c82e3853bfbde83cdd8300dd198,,,out\object_anchor_full99\training\weights,best,full99_related,ARCHIVE_RND,True,identical hash copy exists,archive intact before pruning
out/object_anchor_full99/training/weights/last.pt,5619720,5c615f6aa6bc9c182d2ab80e92ed87cdd927562f301acc403df5d76bd384fccf,,,out\object_anchor_full99\training\weights,last,full99_related,ARCHIVE_RND,True,identical hash copy exists,archive intact before pruning
runs/object_anchor_pose/tissue_box_01_front_only_orbbec_full99/weights/best.pt,5619720,2512be192c87242633b5aec4ceba332937a51c82e3853bfbde83cdd8300dd198,,,runs\object_anchor_pose\tissue_box_01_front_only_orbbec_full99\weights,best,full99_related,KEEP_REPRODUCIBILITY,True,identical hash copy exists,retain with args.yaml and results.csv
runs/object_anchor_pose/tissue_box_01_front_only_orbbec_full99/weights/last.pt,5619720,5c615f6aa6bc9c182d2ab80e92ed87cdd927562f301acc403df5d76bd384fccf,,,runs\object_anchor_pose\tissue_box_01_front_only_orbbec_full99\weights,last,full99_related,ARCHIVE_RND,True,identical hash copy exists,archive before any pruning
runs/object_anchor_pose/tissue_box_01_front_only_orbbec_pilot/weights/best.pt,5613064,1f33fa51c656f4b8fc3c3e92e9eb5d7d6ea0d886b8a0c71fc1b14ba94d8e80ad,,,runs\object_anchor_pose\tissue_box_01_front_only_orbbec_pilot\weights,best,pilot_or_legacy,KEEP_REPRODUCIBILITY,True,identical hash copy exists,retain with args.yaml and results.csv
runs/object_anchor_pose/tissue_box_01_front_only_orbbec_pilot/weights/last.pt,5613064,1d717872bfe7341370eea40502d7c43ad793b316558d370c9161fa29afd76173,,,runs\object_anchor_pose\tissue_box_01_front_only_orbbec_pilot\weights,last,pilot_or_legacy,ARCHIVE_RND,True,duplicate hash or training data/settings required,archive before any pruning
runs/object_anchor_pose/tissue_box_01_front_only_pilot/weights/best.pt,5643336,d37fd4ca4deb2de9ee3b13d816e30496a5a5d0f369d8a8c2d902672aad6f6db4,,docs/OBJECT_ANCHOR_PILOT.md,runs\object_anchor_pose\tissue_box_01_front_only_pilot\weights,best,pilot_or_legacy,KEEP_REPRODUCIBILITY,True,identical hash copy exists,retain with args.yaml and results.csv
runs/object_anchor_pose/tissue_box_01_front_only_pilot/weights/last.pt,5643336,93d216e7ac89643858e260e3d2c6f30d2186442f9914e972fe6f250495d8ab43,,,runs\object_anchor_pose\tissue_box_01_front_only_pilot\weights,last,pilot_or_legacy,ARCHIVE_RND,True,duplicate hash or training data/settings required,archive before any pruning
yolo11n-pose.pt,6255593,869e83fcdffdc7371fa4e34cd8e51c838cc729571d1635e5141e3075e9319dc0,,scripts/train_object_anchor_pose.py,.,intermediate_or_base,base_detector_or_other,KEEP_REPRODUCIBILITY,True,duplicate hash or training data/settings required,keep with training metadata
yolo11s.pt,19313732,85a76fe86dd8afe384648546b56a7a78580c7cb7b404fc595f97969322d502d5,configs/default.yaml;configs/demo.yaml;configs/experiments/orbbec_gemini_object_anchor_full99.yaml;configs/experiments/orbbec_gemini_object_anchor_mvp_final.yaml;configs/experiments/orbbec_gemini_object_anchor_pilot.yaml;configs/image_folder.yaml;configs/orbbec_gemini.yaml,configs/default.yaml;configs/demo.yaml;configs/experiments/orbbec_gemini_object_anchor_full99.yaml;configs/experiments/orbbec_gemini_object_anchor_mvp_final.yaml;configs/experiments/orbbec_gemini_object_anchor_pilot.yaml;configs/image_folder.yaml;configs/orbbec_gemini.yaml;experiments/repeatability_run.py;src/detect.py;tests/test_object_anchor_replacement_feasibility.py,.,intermediate_or_base,base_detector_or_other,KEEP_RUNTIME,True,duplicate hash or training data/settings required,keep in place
yolov8n.pt,6549796,f59b3d833e2ff32e194b5bb8e08d211dc7c5bdf144b90d2c8412c47ccfc83b36,,,.,intermediate_or_base,base_detector_or_other,ARCHIVE_RND,True,duplicate hash or training data/settings required,archive after model provenance review
