path,size_bytes,sha256,reason,deleted_at
.pytest_cache/.gitignore,39,e7c6bb30148cf667606dcd63e7ca77acaa3cfb0c8303bf09e6419e1e1669dc6d,regenerable cache directory,2026-07-29T06:07:29.400773+00:00
.pytest_cache/CACHEDIR.TAG,191,37dc88ef9a0abeddbe81053a6dd8fdfb13afb613045ea1eb4a5c815a74a3bde4,regenerable cache directory,2026-07-29T06:07:29.400773+00:00
.pytest_cache/README.md,310,420e808d79a6c25d3cda0af33bc4782314a14949866682c68ce8149e89b66b70,regenerable cache directory,2026-07-29T06:07:29.400773+00:00
.pytest_cache/v/cache/lastfailed,2,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,regenerable cache directory,2026-07-29T06:07:29.400773+00:00
.pytest_cache/v/cache/nodeids,8891,3d52adaede720807f348f8f1e87e4aada764e0c6992236edda2d441469be83d1,regenerable cache directory,2026-07-29T06:07:29.400773+00:00
.venv/Lib/site-packages/PIL/__pycache__/AvifImagePlugin.cpython-312.pyc,11993,07a983b9340ddaf741862e369e0368275468918337ec3b5f2f974d37031e328f,regenerable cache directory,2026-07-29T06:07:29.400773+00:00
.venv/Lib/site-packages/PIL/__pycache__/BdfFontFile.cpython-312.pyc,4294,a2e8f20945bd05f314e05748948b2d33cf738a48ae0386bf32f8e79a43c79d00,regenerable cache directory,2026-07-29T06:07:29.400773+00:00
.venv/Lib/site-packages/PIL/__pycache__/BlpImagePlugin.cpython-312.pyc,24004,35fa6bd85fe384a5f7ecad088f10b79f2ea9f9d1dfe44ca19ab2c2d8a5863b1a,regenerable cache directory,2026-07-29T06:07:29.400773+00:00
.venv/Lib/site-packages/PIL/__pycache__/BmpImagePlugin.cpython-312.pyc,18006,7d7e87985a01a7ef43fee864f30b4ae4ea68f589440b81a3b3ad7b5bc4003ea3,regenerable cache directory,2026-07-29T06:07:29.400773+00:00
.venv/Lib/site-packages/PIL/__pycache__/BufrStubImagePlugin.cpython-312.pyc,2565,4375491e5178b9e704d520b3ebe860f622a2c3659f4c6f60ad15a9cd28b8358a,regenerable cache directory,2026-07-29T06:07:29.400773+00:00
.venv/Lib/site-packages/PIL/__pycache__/ContainerIO.cpython-312.pyc,6994,fa6a3d2ede5bd45848c599ae261b887392f3768b5628283cfbba93b349717fc1,regenerable cache directory,2026-07-29T06:07:29.400773+00:00
.venv/Lib/site-packages/PIL/__pycache__/CurImagePlugin.cpython-312.pyc,4160,3f34fa1f6e4ab4cc97828b75e9997ea612f0a2874dae8c01bbd6a3b2322049ab,regenerable cache directory,2026-07-29T06:07:29.400773+00:00
