path,file_type,size_bytes,modified_time_utc,git_status,sha256,current_code_import,config_reference,run_ps1_runtime_dependency,test_reference,subprocess_or_command_reference,referenced_by,duplicate_group_size,category,recoverable,preservation_reason,recommended_action,risk_level,requires_user_approval
.gitignore,no_extension,188,2026-07-28T21:59:28.441518+00:00,tracked,dbd33f8193b774b82ea22b2cb86e07474155288932b71ddfd18324265a875db7,False,False,False,False,False,,1,KEEP_REPRODUCIBILITY,yes_from_source_control,repository configuration or tracked sample input,keep pending explicit sample ownership review,low,False
.pytest_cache/.gitignore,no_extension,39,2026-07-21T17:29:53.683880+00:00,ignored,e7c6bb30148cf667606dcd63e7ca77acaa3cfb0c8303bf09e6419e1e1669dc6d,False,False,False,False,False,,1,SAFE_DELETE_CANDIDATE,yes,interpreter/test cache; regenerated automatically,delete only after user approval,low,True
.pytest_cache/CACHEDIR.TAG,tag,191,2026-07-21T17:29:53.683880+00:00,ignored,37dc88ef9a0abeddbe81053a6dd8fdfb13afb613045ea1eb4a5c815a74a3bde4,False,False,False,False,False,,1,SAFE_DELETE_CANDIDATE,yes,interpreter/test cache; regenerated automatically,delete only after user approval,low,True
.pytest_cache/README.md,documentation,310,2026-07-21T17:29:53.682877+00:00,ignored,420e808d79a6c25d3cda0af33bc4782314a14949866682c68ce8149e89b66b70,False,False,False,False,False,,1,SAFE_DELETE_CANDIDATE,yes,interpreter/test cache; regenerated automatically,delete only after user approval,low,True
.pytest_cache/v/cache/lastfailed,no_extension,2,2026-07-28T02:53:11.746482+00:00,ignored,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,False,False,False,False,False,,1,SAFE_DELETE_CANDIDATE,yes,interpreter/test cache; regenerated automatically,delete only after user approval,low,True
.pytest_cache/v/cache/nodeids,no_extension,8891,2026-07-28T02:55:10.452633+00:00,ignored,3d52adaede720807f348f8f1e87e4aada764e0c6992236edda2d441469be83d1,False,False,False,False,False,,1,SAFE_DELETE_CANDIDATE,yes,interpreter/test cache; regenerated automatically,delete only after user approval,low,True
.venv/Include/site/python3.12/pygame/_blit_info.h,h,470,2026-07-21T12:52:17.923593+00:00,ignored,c111d15f143d93b3413071cfca6b52b58b88f0faf0a9b76ed23134828baa5187,False,False,False,False,False,,1,SAFE_DELETE_CANDIDATE,yes,local virtual environment; reproducible from setup/requirements,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/_camera.h,h,839,2026-07-21T12:52:17.923593+00:00,ignored,4f455801f4319b4738cf0c3f0596891b3e1ec5ae33d057447f745237f5b613e1,False,False,False,False,False,,1,SAFE_DELETE_CANDIDATE,yes,local virtual environment; reproducible from setup/requirements,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/_pygame.h,h,11726,2026-07-21T12:52:17.924592+00:00,ignored,52144917613b5bc0957ca016e5cc9204ec5ff2dbf3c805f4b438c4854ac93de3,False,False,False,False,False,,1,SAFE_DELETE_CANDIDATE,yes,local virtual environment; reproducible from setup/requirements,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/_surface.h,h,957,2026-07-21T12:52:17.925098+00:00,ignored,05b8bdad6d12ab01ace931c80f497a781e5dfb987e9315bbe75ed376aa311193,False,False,False,False,False,,1,SAFE_DELETE_CANDIDATE,yes,local virtual environment; reproducible from setup/requirements,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/camera.h,h,5605,2026-07-21T12:52:17.925098+00:00,ignored,4833532d4a79aa3e471d9cab7cd47c7feb7e96948d1f18f71173be5aa40d3d8a,False,False,False,False,False,,1,SAFE_DELETE_CANDIDATE,yes,local virtual environment; reproducible from setup/requirements,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/font.h,h,348,2026-07-21T12:52:17.925098+00:00,ignored,54770a858b481ddb9e8135c47f585b99bc42c0de48aeab09721d876b112d07a2,False,False,False,False,False,,1,SAFE_DELETE_CANDIDATE,yes,local virtual environment; reproducible from setup/requirements,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/freetype.h,h,3245,2026-07-21T12:52:17.926165+00:00,ignored,2db198eac6a3f686a4ca87864a55a58ab487c923a97a84ca28e17e0cee332d1b,False,False,False,False,False,,1,SAFE_DELETE_CANDIDATE,yes,local virtual environment; reproducible from setup/requirements,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/include/_pygame.h,h,30436,2026-07-21T12:52:17.930504+00:00,ignored,9f5fc8fda30c034178306d42f94a6e4d9daa49eea5b9feefb76a48a4eb983e8e,False,False,False,False,False,,1,SAFE_DELETE_CANDIDATE,yes,local virtual environment; reproducible from setup/requirements,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/include/bitmask.h,h,4952,2026-07-21T12:52:17.931611+00:00,ignored,b46cd8c19e34eec3081c3406ef17970500919a1659e30a7ec937ab8549889425,False,False,False,False,False,,1,SAFE_DELETE_CANDIDATE,yes,local virtual environment; reproducible from setup/requirements,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/include/pgcompat.h,h,1944,2026-07-21T12:52:17.931611+00:00,ignored,97e02dea22c653c11e32a61db033004d2db37e4be25d67b546cee59cec0eee87,False,False,False,False,False,,1,SAFE_DELETE_CANDIDATE,yes,local virtual environment; reproducible from setup/requirements,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/include/pgimport.h,h,2636,2026-07-21T12:52:17.931611+00:00,ignored,dd5ad4c8e642ea46c474e7179f541b399de7bac040b85490c5880369d1cd4cf2,False,False,False,False,False,,1,SAFE_DELETE_CANDIDATE,yes,local virtual environment; reproducible from setup/requirements,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/include/pgplatform.h,h,2312,2026-07-21T12:52:17.932616+00:00,ignored,e32e410cad6829e2b68b9a4edd47d901b657bff29d35d728e5905baed06caed7,False,False,False,False,False,,1,SAFE_DELETE_CANDIDATE,yes,local virtual environment; reproducible from setup/requirements,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/include/pygame.h,h,1245,2026-07-21T12:52:17.932616+00:00,ignored,3ac11cff334f1655e8e28c0e84646a1f871bb9832d349ffb2bd77f4defbe3845,False,False,False,False,False,,1,SAFE_DELETE_CANDIDATE,yes,local virtual environment; reproducible from setup/requirements,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/include/pygame_bufferproxy.h,h,1834,2026-07-21T12:52:17.933635+00:00,ignored,3e887b1ec223ba0a3734578a8c8b597b8d3f05abc5e55eeb7bc6d516392999f5,False,False,False,False,False,,1,SAFE_DELETE_CANDIDATE,yes,local virtual environment; reproducible from setup/requirements,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/include/pygame_font.h,h,1501,2026-07-21T12:52:17.933635+00:00,ignored,24a3db0c541d87f040bb3e45f52dfb8814996df8e72f6b1c525912d6078b778b,False,False,False,False,False,,1,SAFE_DELETE_CANDIDATE,yes,local virtual environment; reproducible from setup/requirements,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/include/pygame_freetype.h,h,1346,2026-07-21T12:52:17.933635+00:00,ignored,54dcafcbbc6e90d397ca683720c6677bdfa256edec2392ef28b6a07e45a92809,False,False,False,False,False,,1,SAFE_DELETE_CANDIDATE,yes,local virtual environment; reproducible from setup/requirements,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/include/pygame_mask.h,h,1303,2026-07-21T12:52:17.934635+00:00,ignored,38d5c8cf733730f1780653d24b6c51aaecac1188d965fec03f6251ae8f23e08d,False,False,False,False,False,,1,SAFE_DELETE_CANDIDATE,yes,local virtual environment; reproducible from setup/requirements,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/include/pygame_mixer.h,h,2021,2026-07-21T12:52:17.934635+00:00,ignored,1ed840ed24daf532e89b0410b30ae8c8098077bda9cb00eefd408b7c857bd62b,False,False,False,False,False,,1,SAFE_DELETE_CANDIDATE,yes,local virtual environment; reproducible from setup/requirements,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/include/sse2neon.h,h,237885,2026-07-21T12:52:17.936142+00:00,ignored,0dc6b36662df9f2e8c54914852559bb1d237f59590586c260890ee144559b30d,False,False,False,False,False,,1,SAFE_DELETE_CANDIDATE,yes,local virtual environment; reproducible from setup/requirements,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/mask.h,h,153,2026-07-21T12:52:17.926165+00:00,ignored,63b3aaccd52a4101dc854b1296f77e8dae5df488007d2576b8595a6bcff92f2b,False,False,False,False,False,,1,SAFE_DELETE_CANDIDATE,yes,local virtual environment; reproducible from setup/requirements,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/mixer.h,h,348,2026-07-21T12:52:17.926165+00:00,ignored,1c931dd07a340eb74605d3cc0e8fde812aa45716675193cc110c8f24c230ebf3,False,False,False,False,False,,1,SAFE_DELETE_CANDIDATE,yes,local virtual environment; reproducible from setup/requirements,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/palette.h,h,7057,2026-07-21T12:52:17.927180+00:00,ignored,773011608b1074701a57cca90ab41b6115858ac5d85c0043e13a0c97360aa238,False,False,False,False,False,,1,SAFE_DELETE_CANDIDATE,yes,local virtual environment; reproducible from setup/requirements,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/pgarrinter.h,h,1060,2026-07-21T12:52:17.927180+00:00,ignored,6a5b30ee9e97eee90e075a3772eaf2ae358e7061e05424200af4b50fd16d8917,False,False,False,False,False,,1,SAFE_DELETE_CANDIDATE,yes,local virtual environment; reproducible from setup/requirements,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/pgbufferproxy.h,h,179,2026-07-21T12:52:17.927180+00:00,ignored,b6a30391d907e34428609dcdb538e292702748c8748b5b1f34c6a8c379e9bca2,False,False,False,False,False,,1,SAFE_DELETE_CANDIDATE,yes,local virtual environment; reproducible from setup/requirements,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/pgcompat.h,h,737,2026-07-21T12:52:17.927180+00:00,ignored,468ea427a6a4d8b4121d1e0b9b09ee968946b903b4296e94662bb4da23fed7f2,False,False,False,False,False,,1,SAFE_DELETE_CANDIDATE,yes,local virtual environment; reproducible from setup/requirements,optionally recreate after approval,medium,True
.venv/Include/site/python3.12/pygame/pgopengl.h,h,606,2026-07-21T12:52:17.928336+00:00,ignored,6db232b1b2e9879a5a3df784da79eb40122babc899cf84f8a467f3da660fb91c,False,False,False,False,False,,1,SAFE_DELETE_CANDIDATE,yes,local virtual environment; reproducible from setup/requirements,optionally recreate after approval,medium,True
